Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
*ALL,Unweighted,Combined,363,0.06525016782196089,0.03470258760250119,0.16048396565059705,0.03220886756664788,9.349102472831952,0.9989625888500742
*ALL,Unweighted,Energy,363,0.06525016782196089,0.03470258760250119,0.16048396565059705,0.03220886756664788,9.349102472831952,0.9989625888500742
*ALL,Weighted,Combined,363,0.13422348440117637,0.0003218450111993736,0.26600937531440055,0.00028643968586439575,25.68623855512221,0.9999999179523064
*ALL,Weighted,Energy,363,0.13422348440117637,0.0003218450111993736,0.26600937531440055,0.00028643968586439575,25.68623855512221,0.9999999179523064
Displaced_A15,Unweighted,Combined,9,0.0020948848967855664,1.5400929630376536,0.0026039533450567696,1.5701415057231614,6.102515720909106e-05,-1.4653443479945971
Displaced_A15,Unweighted,Energy,9,0.0020948848967855664,1.5400929630376536,0.0026039533450567696,1.5701415057231614,6.102515720909106e-05,-1.4653443479945971
Displaced_A15,Weighted,Combined,9,0.2094884896785566,1.5400929630376,0.26039533450571073,1.570141505723465,0.610251572091069,-1.4653443479955506
Displaced_A15,Weighted,Energy,9,0.2094884896785566,1.5400929630376,0.26039533450571073,1.570141505723465,0.610251572091069,-1.4653443479955506
Displaced_BCC,Unweighted,Combined,9,0.006012563639822745,0.24706294828268227,0.006532256404299757,0.15363778068961517,0.0003840333635836367,0.9763954323447697
Displaced_BCC,Unweighted,Energy,9,0.006012563639822745,0.24706294828268227,0.006532256404299757,0.15363778068961517,0.0003840333635836367,0.9763954323447697
Displaced_BCC,Weighted,Combined,9,0.6012563639822778,0.24706294828268435,0.6532256404299821,0.15363778068961623,3.840333635836443,0.9763954323447694
Displaced_BCC,Weighted,Energy,9,0.6012563639822778,0.24706294828268435,0.6532256404299821,0.15363778068961623,3.840333635836443,0.9763954323447694
Displaced_FCC,Unweighted,Combined,9,0.0017771533169145136,0.5118768791601732,0.0023146176219380273,0.5200095859670271,4.8217092622074435e-05,0.729590030502401
Displaced_FCC,Unweighted,Energy,9,0.0017771533169145136,0.5118768791601732,0.0023146176219380273,0.5200095859670271,4.8217092622074435e-05,0.729590030502401
Displaced_FCC,Weighted,Combined,9,0.1777153316914135,0.5118768791600782,0.23146176219379255,0.5200095859670072,0.48217092622070196,0.7295900305024218
Displaced_FCC,Weighted,Energy,9,0.1777153316914135,0.5118768791600782,0.23146176219379255,0.5200095859670072,0.48217092622070196,0.7295900305024218
Elastic_BCC,Unweighted,Combined,100,0.011450307432912084,0.19910040904531537,0.014118519310892447,0.20470563276632486,0.019933258753204293,0.9580956039137385
Elastic_BCC,Unweighted,Energy,100,0.011450307432912084,0.19910040904531537,0.014118519310892447,0.20470563276632486,0.019933258753204293,0.9580956039137385
Elastic_BCC,Weighted,Combined,100,1.1450307432911988e-10,0.19910040904531343,1.4118519310892412e-10,0.2047056327663238,1.9933258753204196e-18,0.9580956039137389
Elastic_BCC,Weighted,Energy,100,1.1450307432911988e-10,0.19910040904531343,1.4118519310892412e-10,0.2047056327663238,1.9933258753204196e-18,0.9580956039137389
Elastic_FCC,Unweighted,Combined,100,0.01327155032737522,0.31053295311142626,0.015108481380523115,0.27681989344398467,0.022826620962561366,0.9233707465936609
Elastic_FCC,Unweighted,Energy,100,0.01327155032737522,0.31053295311142626,0.015108481380523115,0.27681989344398467,0.022826620962561366,0.9233707465936609
Elastic_FCC,Weighted,Combined,100,1.3271550327375279e-11,0.3105329531114284,1.5108481380523062e-11,0.27681989344398433,2.282662096256121e-20,0.9233707465936611
Elastic_FCC,Weighted,Energy,100,1.3271550327375279e-11,0.3105329531114284,1.5108481380523062e-11,0.27681989344398433,2.282662096256121e-20,0.9233707465936611
GSF_110,Unweighted,Combined,22,0.004164990358031094,0.3401430417258978,0.005095622979287942,0.270962713128169,0.000571238218035041,0.9265792080942216
GSF_110,Unweighted,Energy,22,0.004164990358031094,0.3401430417258978,0.005095622979287942,0.270962713128169,0.000571238218035041,0.9265792080942216
GSF_110,Weighted,Combined,22,0.4164990358031095,0.34014304172590076,0.5095622979287767,0.2709627131281598,5.712382180350018,0.9265792080942266
GSF_110,Weighted,Energy,22,0.4164990358031095,0.34014304172590076,0.5095622979287767,0.2709627131281598,5.712382180350018,0.9265792080942266
GSF_112,Unweighted,Combined,22,0.0026118273956215114,0.13125475531453337,0.004049883598810652,0.15000109414400672,0.0003608342576061415,0.9774996717556008
GSF_112,Unweighted,Energy,22,0.0026118273956215114,0.13125475531453337,0.004049883598810652,0.15000109414400672,0.0003608342576061415,0.9774996717556008
GSF_112,Weighted,Combined,22,0.2611827395621421,0.13125475531452843,0.40498835988105414,0.15000109414400223,3.6083425760612173,0.9774996717556022
GSF_112,Weighted,Energy,22,0.2611827395621421,0.13125475531452843,0.40498835988105414,0.15000109414400223,3.6083425760612173,0.9774996717556022
Liquid,Unweighted,Combined,3,0.0009112429958815227,0.010982076482528224,0.0009735739940531051,0.009376308013714835,2.8435389656895464e-06,0.999912084848032
Liquid,Unweighted,Energy,3,0.0009112429958815227,0.010982076482528224,0.0009735739940531051,0.009376308013714835,2.8435389656895464e-06,0.999912084848032
Liquid,Weighted,Combined,3,0.4255504790762643,0.010982076482517797,0.4546590552224772,0.009376308013708229,0.6201445694873866,0.9999120848480321
Liquid,Weighted,Energy,3,0.4255504790762643,0.010982076482517797,0.4546590552224772,0.009376308013708229,0.6201445694873866,0.9999120848480321
Surface,Unweighted,Combined,7,0.0038506387508248406,0.03571959173026386,0.0046411967030300936,0.032130446301749244,0.00015078494785352185,0.9989676344204504
Surface,Unweighted,Energy,7,0.0038506387508248406,0.03571959173026386,0.0046411967030300936,0.032130446301749244,0.00015078494785352185,0.9989676344204504
Surface,Weighted,Combined,7,0.3850638750825185,0.035719591730267036,0.46411967030305085,0.0321304463017521,1.5078494785354881,0.9989676344204502
Surface,Weighted,Energy,7,0.3850638750825185,0.035719591730267036,0.46411967030305085,0.0321304463017521,1.5078494785354881,0.9989676344204502
Volume_A15,Unweighted,Combined,30,0.26224150439729477,0.0442092922014978,0.3411453648859911,0.04625968373315991,3.491404799495881,0.997860041660908
Volume_A15,Unweighted,Energy,30,0.26224150439729477,0.0442092922014978,0.3411453648859911,0.04625968373315991,3.491404799495881,0.997860041660908
Volume_A15,Weighted,Combined,30,0.26224150439729477,0.0442092922014978,0.3411453648859911,0.04625968373315991,3.491404799495881,0.997860041660908
Volume_A15,Weighted,Energy,30,0.26224150439729477,0.0442092922014978,0.3411453648859911,0.04625968373315991,3.491404799495881,0.997860041660908
Volume_BCC,Unweighted,Combined,21,0.23478710689093196,0.023575212977994614,0.29280488200430155,0.021833391142942808,1.800428677436612,0.9995233030311993
Volume_BCC,Unweighted,Energy,21,0.23478710689093196,0.023575212977994614,0.29280488200430155,0.021833391142942808,1.800428677436612,0.9995233030311993
Volume_BCC,Weighted,Combined,21,0.23478710689093196,0.023575212977994614,0.29280488200430155,0.021833391142942808,1.800428677436612,0.9995233030311993
Volume_BCC,Weighted,Energy,21,0.23478710689093196,0.023575212977994614,0.29280488200430155,0.021833391142942808,1.800428677436612,0.9995233030311993
Volume_FCC,Unweighted,Combined,31,0.2628422954583607,0.03613876980671694,0.3597907160311223,0.0379986175311009,4.0129301396078185,0.9985561050657251
Volume_FCC,Unweighted,Energy,31,0.2628422954583607,0.03613876980671694,0.3597907160311223,0.0379986175311009,4.0129301396078185,0.9985561050657251
Volume_FCC,Weighted,Combined,31,0.2628422954583607,0.03613876980671694,0.3597907160311223,0.0379986175311009,4.0129301396078185,0.9985561050657251
Volume_FCC,Weighted,Energy,31,0.2628422954583607,0.03613876980671694,0.3597907160311223,0.0379986175311009,4.0129301396078185,0.9985561050657251
